shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
5iron,5iron.json,102.10,17.40,1.50,5391.0,12.30,5266.0,1151.0,0.0,0.0,0.0,0.0
approach_mid_iron_test_shot,approach_mid_iron_test_shot.json,93.90,22.90,-2.60,5375.0,2.00,5375.0,0.0,0.0,0.0,0.0,0.0
approach_test_shot,approach_test_shot.json,81.05,30.50,1.35,10489.8,5.74,10454.8,699.3,0.0,0.0,0.0,0.0
bug1_wedge_short,bug1_wedge_short.json,80.49,30.38,0.00,4174.0,0.00,4174.0,0.0,0.0,0.0,0.0,0.0
bug2_wedge_long,bug2_wedge_long.json,94.76,33.80,0.00,8774.0,0.00,8774.0,0.0,0.0,0.0,0.0,0.0
bump_and_run,bump_and_run.json,58.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,0.0,0.0,0.0,0.0
bump_and_run_slow,bump_and_run_slow.json,30.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,0.0,0.0,0.0,0.0
bump_test_shot,bump_test_shot.json,78.27,5.57,-0.85,1850.1,2.31,1700.4,75.7,0.0,0.0,0.0,0.0
checked_test_shot,checked_test_shot.json,75.05,38.50,1.35,10700.8,5.74,10500.8,699.3,0.0,0.0,0.0,0.0
chip_test_shot,chip_test_shot.json,24.68,17.94,20.35,3203.9,0.00,3203.9,0.0,0.0,0.0,0.0,0.0
drive_test_shot,drive_test_shot.json,150.00,12.50,1.50,2335.0,-9.90,2300.0,-400.0,0.0,0.0,0.0,0.0
driver1,driver1.json,124.00,9.40,-9.50,2322.0,-24.80,2107.9,-973.2,0.0,0.0,0.0,0.0
driver2,driver2.json,124.60,13.20,-6.80,3994.0,-6.10,3971.3,-423.5,0.0,0.0,0.0,0.0
driver3,driver3.json,119.10,16.00,-8.90,4935.0,-9.40,4868.9,-806.3,0.0,0.0,0.0,0.0
driver4,driver4.json,119.00,15.50,-10.20,4454.0,-7.80,4412.0,-608.1,0.0,0.0,0.0,0.0
flop_test_shot,flop_test_shot.json,68.05,45.00,0.45,12000.0,0.84,12000.0,140.3,0.0,0.0,0.0,0.0
p_wedge_shot_1,p_wedge_shot_1.json,82.28,26.46,-3.15,4946.5,6.74,4912.3,580.3,0.0,0.0,0.0,0.0
putt_five_feet,putt_five_feet.json,5.80,1.50,0.40,80.0,0.20,-20.0,5.0,0.0,0.0,0.0,0.0
putt_ten_feet,putt_ten_feet.json,8.80,1.50,0.40,80.0,0.20,-20.0,5.0,0.0,0.0,0.0,0.0
topped_test_shot,topped_test_shot.json,91.78,5.00,-0.89,2195.3,16.20,2108.2,612.3,0.0,0.0,0.0,0.0
wedge_shot_1,wedge_shot_1.json,48.66,28.96,-1.27,5683.7,11.12,5577.0,1096.3,0.0,0.0,0.0,0.0
wedge_shot_2,wedge_shot_2.json,51.83,37.03,2.37,5652.0,9.08,5581.2,891.7,0.0,0.0,0.0,0.0
wedge_test_shot,wedge_test_shot.json,66.40,23.20,-1.40,6449.0,7.10,6399.0,793.0,0.0,0.0,0.0,0.0
wedge_test_shot2,wedge_test_shot2.json,54.70,26.80,1.60,4976.0,5.70,4951.0,494.0,0.0,0.0,0.0,0.0
wood1,wood1.json,124.20,6.70,-8.10,4528.0,4.80,4512.0,378.0,0.0,0.0,0.0,0.0
wood2,wood2.json,118.80,14.50,-3.30,3026.0,11.20,2968.0,586.0,0.0,0.0,0.0,0.0
wood_low_test_shot,wood_low_test_shot.json,114.46,6.95,-0.63,1932.5,-1.42,1931.9,-47.8,0.0,0.0,0.0,0.0
