shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,status
s3_shot_driver_58,119.3,23.6,2.5,7093,3.3,181.2,163.2,18.0,200.9,163.9,37.0,19.7,0.7,19.0,120.9,125.7,-4.8,severe
wood1,124.2,6.7,-8.1,4528,4.8,178.2,165.5,12.7,178.7,181.9,-3.2,0.5,16.4,-15.9,36.0,32.8,3.2,severe
s3_shot_driver_51,116.2,21.7,2.2,6409,3.2,174.3,162.9,11.4,193.9,164.3,29.6,19.6,1.4,18.2,109.3,108.7,0.6,severe
s3_shot_driver_52,102.1,31.3,3.1,8442,6.3,133.9,124.5,9.4,149.4,124.1,25.3,15.5,-0.4,15.9,117.9,119.3,-1.4,severe
bump_and_run,58.3,15.6,-0.8,1850,2.3,34.7,43.8,-9.1,34.5,62.0,-27.5,-0.2,18.2,-18.4,8.0,10.1,-2.1,severe
driver2,124.6,13.2,-6.8,3994,-6.1,193.7,184.8,8.9,200.9,192.3,8.6,7.2,7.5,-0.3,63.1,65.8,-2.7,severe
s3_shot_9i_2,71.3,23.9,5.5,4086,8.3,74.1,82.1,-8.0,78.3,87.4,-9.1,4.2,5.3,-1.1,33.8,36.8,-3.0,severe
s3_shot_3w_24,123.4,6.3,-5.4,2752,-13.3,153.8,145.9,7.9,206.3,176.7,29.6,52.5,30.8,21.7,21.7,19.8,1.9,severe
driver4,119.0,15.5,-10.2,4454,-7.8,183.3,175.6,7.7,197.2,180.9,16.3,13.9,5.3,8.6,78.2,73.8,4.4,severe
s2_shot_17,122.9,14.4,-1.3,4119,6.7,191.2,184.0,7.2,199.5,190.3,9.2,8.3,6.3,2.0,68.2,71.8,-3.6,severe
s2_shot_20,120.9,15.0,-3.0,4245,9.6,186.6,179.4,7.2,196.4,185.3,11.1,9.8,5.9,3.9,70.5,72.3,-1.8,severe
s3_shot_6i_47,99.5,14.8,-2.9,4811,4.7,138.2,131.2,7.0,148.5,137.7,10.8,10.3,6.5,3.8,56.8,45.0,11.8,severe
s3_shot_driver_53,97.2,30.6,2.2,8926,6.0,124.1,117.6,6.5,135.0,117.1,17.9,10.9,-0.5,11.4,102.0,105.8,-3.8,severe
s3_shot_6i_43,94.1,13.9,-4.7,4616,1.7,123.7,117.3,6.4,129.5,128.6,0.9,5.8,11.3,-5.5,43.1,35.0,8.1,moderate
driver3,119.1,16.0,-8.9,4935,-9.4,180.3,174.1,6.2,201.8,178.5,23.3,21.5,4.4,17.1,99.6,78.5,21.1,severe
s3_shot_6i_48,101.7,15.2,-3.0,4631,4.3,143.2,137.1,6.1,154.6,143.5,11.1,11.4,6.4,5.0,63.1,48.9,14.2,severe
wedge_shot_2,51.8,37.0,2.4,5652,9.1,43.0,49.1,-6.1,52.8,50.1,2.7,9.8,1.0,8.8,31.1,35.3,-4.2,moderate
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,160.7,154.9,5.8,215.3,186.5,28.8,54.6,31.6,23.0,24.9,23.1,1.8,severe
s2_shot_22,123.3,14.0,-6.1,3104,10.0,191.1,185.4,5.7,199.0,195.5,3.5,7.9,10.1,-2.2,61.6,63.0,-1.4,moderate
s2_shot_24,121.5,14.5,-11.2,3173,-6.8,188.7,183.0,5.7,195.5,192.8,2.7,6.8,9.8,-3.0,63.0,64.6,-1.6,moderate
5iron,102.1,17.4,1.5,5391,12.3,143.7,138.1,5.6,154.3,142.2,12.1,10.6,4.1,6.5,64.6,59.6,5.0,severe
s3_shot_driver_54,121.5,12.9,-5.3,3411,-10.0,183.6,178.2,5.4,188.7,188.7,0.0,5.1,10.5,-5.4,54.3,56.5,-2.2,moderate
wedge_test_shot2,54.7,26.8,1.6,4976,5.7,46.8,52.2,-5.4,60.8,57.7,3.1,14.0,5.5,8.5,22.4,24.4,-2.0,moderate
s2_shot_12,90.8,24.5,-3.9,7261,4.9,120.6,115.4,5.2,125.9,116.4,9.5,5.3,1.0,4.3,66.4,71.5,-5.1,moderate
s2_shot_18,105.7,20.5,-1.7,5667,8.2,151.9,146.8,5.1,166.0,149.4,16.6,14.1,2.6,11.5,83.5,80.4,3.1,severe
s3_shot_6i_35,80.5,15.3,-1.3,4667,-0.0,84.9,90.0,-5.1,84.9,101.5,-16.6,0.0,11.5,-11.5,23.1,26.4,-3.3,severe
s3_shot_driver_57,120.9,14.1,-5.2,1544,-8.0,172.5,177.6,-5.1,177.3,197.0,-19.7,4.8,19.4,-14.6,47.4,50.9,-3.5,severe
wedge_shot_1,48.7,29.0,-1.3,5684,11.1,37.5,42.6,-5.1,46.2,46.9,-0.7,8.7,4.3,4.4,18.9,21.3,-2.4,moderate
wedge_test_shot,66.4,23.2,-1.4,6449,7.1,65.6,70.6,-5.0,79.4,75.8,3.6,13.8,5.2,8.6,28.0,31.2,-3.2,moderate
s3_shot_7i_31,76.4,17.5,-0.5,5122,1.8,80.2,85.0,-4.8,80.2,94.5,-14.3,0.0,9.5,-9.5,24.3,28.4,-4.1,severe
s3_shot_driver_56,118.7,17.1,-1.8,4554,2.8,181.4,176.6,4.8,201.6,180.9,20.7,20.2,4.3,15.9,92.9,83.2,9.7,severe
wood2,118.8,14.5,-3.3,3026,11.2,180.4,175.6,4.8,186.8,186.1,0.7,6.4,10.5,-4.1,57.7,59.3,-1.6,moderate
s3_shot_6i_41,82.5,9.9,-2.3,2620,13.6,66.7,71.3,-4.6,111.1,97.9,13.2,44.4,26.6,17.8,10.3,11.3,-1.0,severe
s3_shot_5i_15,86.9,9.3,-4.0,2509,-4.9,74.1,78.6,-4.5,121.3,106.6,14.7,47.2,28.0,19.2,11.0,12.1,-1.1,severe
s3_shot_7i_34,104.2,14.7,-4.6,4081,1.9,146.9,142.5,4.4,153.2,150.6,2.6,6.3,8.1,-1.8,51.3,48.2,3.1,moderate
s3_shot_pw_64,69.6,28.6,0.2,5327,5.1,75.7,80.1,-4.4,92.0,82.4,9.6,16.3,2.3,14.0,42.7,46.4,-3.7,moderate
p_wedge_shot_1,82.3,26.5,-3.1,4946,6.7,100.2,104.5,-4.3,109.5,107.3,2.2,9.3,2.8,6.5,55.1,60.5,-5.4,moderate
