shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s3_shot_driver_58,119.3,23.6,2.5,7093,3.3,174.2,163.2,11.0,181.2,18.0,200.9,163.9,37.0,26.7,0.7,26.0,120.9,125.7,-4.8,I-S3-V2-P3,7.0,regime,true,severe
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,160.7,154.9,5.8,160.7,5.8,215.3,186.5,28.8,54.6,31.6,23.0,24.9,23.1,1.8,D-S4-V0-P0,,,false,severe
wood1,124.2,6.7,-8.1,4528,4.8,171.2,165.5,5.7,178.2,12.7,178.7,181.9,-3.2,7.5,16.4,-8.9,36.0,32.8,3.2,D-S4-V0-P2,7.0,regime,true,moderate
s3_shot_driver_52,102.1,31.3,3.1,8442,6.3,129.9,124.5,5.4,133.9,9.4,149.4,124.1,25.3,19.5,-0.4,19.9,117.9,119.3,-1.4,W-S2-V3-P4,4.0,regime,true,severe
s3_shot_driver_57,120.9,14.1,-5.2,1544,-8.0,172.5,177.6,-5.1,172.5,-5.1,177.3,197.0,-19.7,4.8,19.4,-14.6,47.4,50.9,-3.5,D-S4-V1-P0,,,false,severe
wood2,118.8,14.5,-3.3,3026,11.2,180.4,175.6,4.8,180.4,4.8,186.8,186.1,0.7,6.4,10.5,-4.1,57.7,59.3,-1.6,D-S3-V1-P1,,,false,moderate
s3_shot_driver_51,116.2,21.7,2.2,6409,3.2,167.3,162.9,4.4,174.3,11.4,193.9,164.3,29.6,26.6,1.4,25.2,109.3,108.7,0.6,I-S3-V2-P3,7.0,regime,true,severe
s3_shot_7i_30,90.2,17.6,-3.8,4508,-0.2,111.2,115.4,-4.2,115.2,-0.2,123.2,121.7,1.5,12.0,6.3,5.7,48.6,43.1,5.5,I-S2-V1-P2,4.0,regime,true,moderate
s3_shot_3w_24,123.4,6.3,-5.4,2752,-13.3,149.8,145.9,3.9,153.8,7.9,206.3,176.7,29.6,56.5,30.8,25.7,21.7,19.8,1.9,D-S4-V0-P1,4.0,regime,true,severe
s3_shot_6i_46,116.3,13.7,0.3,3008,10.7,171.1,167.3,3.8,171.1,3.8,175.8,179.3,-3.5,4.7,12.0,-7.3,50.1,51.6,-1.5,D-S3-V1-P1,,,false,moderate
s2_shot_27,113.0,17.6,-2.3,4292,12.2,161.1,164.5,-3.4,168.1,3.6,183.4,169.6,13.8,22.3,5.1,17.2,78.6,73.6,5.0,D-S3-V1-P2,7.0,regime,true,severe
s2_shot_19,128.6,12.5,-8.4,2514,5.1,191.4,194.5,-3.1,197.8,3.3,204.3,208.7,-4.4,12.9,14.2,-1.3,56.4,57.3,-0.9,D-S4-V1-P1,6.4,regime,true,moderate
s3_shot_6i_47,99.5,14.8,-2.9,4811,4.7,134.2,131.2,3.0,138.2,7.0,148.5,137.7,10.8,14.3,6.5,7.8,56.8,45.0,11.8,I-S2-V1-P2,4.0,regime,true,severe
s2_shot_23,125.5,8.6,-14.3,3062,-23.9,159.1,161.9,-2.8,166.1,4.2,166.1,185.0,-18.9,7.0,23.1,-16.1,31.1,31.0,0.1,D-S4-V0-P1,7.0,regime,true,severe
s2_shot_9,94.4,20.1,2.4,4020,16.3,123.7,126.5,-2.8,123.7,-2.8,136.0,132.5,3.5,12.3,6.0,6.3,62.1,54.8,7.3,I-S2-V2-P2,,,false,pass
s3_shot_7i_28,92.1,16.4,-3.6,4217,-0.4,115.1,117.9,-2.8,119.1,1.2,126.8,125.6,1.2,11.7,7.7,4.0,48.9,40.6,8.3,I-S2-V1-P2,4.0,regime,true,pass
s2_shot_26,117.0,18.4,-2.0,5035,9.7,173.3,170.7,2.6,173.3,2.6,197.3,174.2,23.1,24.0,3.5,20.5,112.3,88.1,24.2,I-S3-V2-P2,,,false,severe
driver2,124.6,13.2,-6.8,3994,-6.1,187.3,184.8,2.5,193.7,8.9,200.9,192.3,8.6,13.6,7.5,6.1,63.1,65.8,-2.7,D-S4-V1-P1,6.4,regime,true,moderate
s3_shot_driver_53,97.2,30.6,2.2,8926,6.0,120.1,117.6,2.5,124.1,6.5,135.0,117.1,17.9,14.9,-0.5,15.4,102.0,105.8,-3.8,W-S2-V3-P4,4.0,regime,true,severe
s3_shot_driver_55,117.5,7.5,-8.3,2150,-27.2,128.1,125.6,2.5,128.1,2.5,184.4,161.8,22.6,56.3,36.2,20.1,17.6,17.2,0.4,D-S3-V0-P0,,,false,severe
s3_shot_6i_43,94.1,13.9,-4.7,4616,1.7,119.7,117.3,2.4,123.7,6.4,129.5,128.6,0.9,9.8,11.3,-1.5,43.1,35.0,8.1,I-S2-V1-P2,4.0,regime,true,pass
s3_shot_7i_27,93.7,17.1,-1.4,4612,2.6,120.1,122.3,-2.2,124.1,1.8,132.6,128.3,4.3,12.5,6.0,6.5,54.0,46.0,8.0,I-S2-V1-P2,4.0,regime,true,pass
s3_shot_driver_56,118.7,17.1,-1.8,4554,2.8,174.4,176.6,-2.2,181.4,4.8,201.6,180.9,20.7,27.2,4.3,22.9,92.9,83.2,9.7,D-S3-V1-P2,7.0,regime,true,severe
