shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,status
s3_shot_driver_58,119.3,23.6,2.5,7093,3.3,181.2,163.2,18.0,200.9,163.9,37.0,19.7,0.7,19.0,120.9,125.7,-4.8,severe
s3_shot_3w_24,123.4,6.3,-5.4,2752,-13.3,153.8,145.9,7.9,206.3,176.7,29.6,52.5,30.8,21.7,21.7,19.8,1.9,severe
s3_shot_driver_51,116.2,21.7,2.2,6409,3.2,174.3,162.9,11.4,193.9,164.3,29.6,19.6,1.4,18.2,109.3,108.7,0.6,severe
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,160.7,154.9,5.8,215.3,186.5,28.8,54.6,31.6,23.0,24.9,23.1,1.8,severe
bump_and_run,58.3,15.6,-0.8,1850,2.3,34.7,43.8,-9.1,34.5,62.0,-27.5,-0.2,18.2,-18.4,8.0,10.1,-2.1,severe
s3_shot_6i_44,115.0,9.5,-6.7,2314,15.1,141.1,142.3,-1.2,140.8,168.2,-27.4,-0.3,25.9,-26.2,25.3,26.6,-1.3,severe
driver1,124.0,9.4,-9.5,2322,-24.8,158.3,158.0,0.3,158.3,184.0,-25.7,0.0,26.0,-26.0,29.5,30.2,-0.7,severe
s3_shot_driver_52,102.1,31.3,3.1,8442,6.3,133.9,124.5,9.4,149.4,124.1,25.3,15.5,-0.4,15.9,117.9,119.3,-1.4,severe
s3_shot_5i_12,74.2,10.2,-1.7,3321,15.8,59.6,58.4,1.2,58.4,81.9,-23.5,-1.2,23.5,-24.7,10.5,9.4,1.1,severe
driver3,119.1,16.0,-8.9,4935,-9.4,180.3,174.1,6.2,201.8,178.5,23.3,21.5,4.4,17.1,99.6,78.5,21.1,severe
s2_shot_26,117.0,18.4,-2.0,5035,9.7,173.3,170.7,2.6,197.3,174.2,23.1,24.0,3.5,20.5,112.3,88.1,24.2,severe
wood_low_test_shot,114.5,7.0,-0.6,1932,-1.4,124.4,122.6,1.8,181.8,158.9,22.9,57.4,36.3,21.1,16.1,15.7,0.4,severe
s3_shot_3w_23,115.8,8.9,-0.8,2804,2.2,148.5,147.7,0.8,148.2,170.9,-22.7,-0.3,23.2,-23.5,26.8,28.0,-1.2,severe
s3_shot_driver_55,117.5,7.5,-8.3,2150,-27.2,128.1,125.6,2.5,184.4,161.8,22.6,56.3,36.2,20.1,17.6,17.2,0.4,severe
s3_shot_7i_26,73.4,10.8,15.4,3561,30.0,58.4,56.6,1.8,57.5,79.3,-21.8,-0.9,22.7,-23.6,10.7,9.6,1.1,severe
s3_shot_6i_38,79.1,13.3,3.0,3187,11.6,76.0,79.2,-3.2,76.2,97.5,-21.3,0.2,18.3,-18.1,18.1,18.0,0.1,severe
s3_shot_6i_45,109.3,6.4,-9.0,2510,-10.9,113.1,109.6,3.5,166.5,145.4,21.1,53.4,35.8,17.6,13.5,12.9,0.6,severe
s3_shot_5i_16,98.0,9.1,-2.1,3776,1.7,110.2,109.1,1.1,109.2,130.0,-20.8,-1.0,20.9,-21.9,19.5,19.7,-0.2,severe
s3_shot_6i_36,78.9,10.4,16.1,4166,25.1,69.9,67.8,2.1,68.3,89.1,-20.8,-1.6,21.3,-22.9,12.4,11.8,0.6,severe
s3_shot_driver_56,118.7,17.1,-1.8,4554,2.8,181.4,176.6,4.8,201.6,180.9,20.7,20.2,4.3,15.9,92.9,83.2,9.7,severe
s3_shot_3w_22,108.9,5.6,-7.2,2501,-1.8,106.3,103.2,3.1,161.5,141.3,20.2,55.2,38.1,17.1,11.0,10.5,0.5,severe
s3_shot_driver_57,120.9,14.1,-5.2,1544,-8.0,172.5,177.6,-5.1,177.3,197.0,-19.7,4.8,19.4,-14.6,47.4,50.9,-3.5,severe
s2_shot_23,125.5,8.6,-14.3,3062,-23.9,166.1,161.9,4.2,166.1,185.0,-18.9,0.0,23.1,-23.1,31.1,31.0,0.1,severe
