shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_3w_18,shot_3w_18.json,47.91,45.81,33.98,7491.0,30.00,6487.4,3745.5,36.3,41.1,4.8,34.4,2.94,15.99,54.95,58633.5,0.781418,0.593910,0.273498,0.273498,36.3
shot_3w_19,shot_3w_19.json,121.33,5.59,-4.84,1661.5,-11.89,1625.9,-342.2,120.0,181.8,61.8,12.3,2.52,36.61,10.00,148481.0,0.068442,0.199224,0.151288,0.151476,120.0
shot_3w_20,shot_3w_20.json,116.03,4.40,2.29,2026.0,9.97,1995.4,350.7,102.5,162.3,59.7,8.2,2.18,36.89,7.76,141993.6,0.087270,0.198004,0.168655,0.168669,102.5
shot_3w_21,shot_3w_21.json,119.40,5.31,-3.43,1759.7,-10.46,1730.5,-319.5,115.2,176.4,61.2,11.2,2.43,36.54,9.44,146120.2,0.073659,0.198484,0.156580,0.156688,115.2
shot_3w_22,shot_3w_22.json,108.89,5.62,-7.25,2500.8,-1.78,2499.6,-77.5,105.8,160.9,55.1,11.0,2.43,33.66,10.12,133261.1,0.114780,0.198752,0.187398,0.187398,105.8
shot_3w_23,shot_3w_23.json,115.83,8.90,-0.78,2804.3,2.19,2802.2,107.3,147.8,147.6,-0.2,26.7,3.55,30.75,18.21,141755.6,0.120995,0.203281,0.178166,0.178525,147.8
shot_3w_24,shot_3w_24.json,123.42,6.29,-5.42,2751.6,-13.27,2678.1,-631.8,152.8,205.1,52.3,21.6,3.43,32.63,15.02,151037.8,0.111429,0.206773,0.185432,0.185981,152.8
shot_5i_10,shot_5i_10.json,87.96,14.22,1.21,4064.7,8.41,4021.0,594.4,105.6,109.1,3.5,34.2,3.58,22.94,34.20,107642.0,0.230959,0.238346,0.312469,0.319245,105.6
shot_5i_11,shot_5i_11.json,90.59,14.45,-0.21,3360.4,7.80,3329.3,456.2,105.1,106.5,1.4,28.5,3.25,25.06,26.44,110866.8,0.185386,0.221876,0.213438,0.219440,105.1
shot_5i_12,shot_5i_12.json,74.19,10.23,-1.67,3321.4,15.75,3196.7,901.5,59.5,58.4,-1.1,10.5,2.01,23.63,17.60,90789.2,0.223756,0.279231,0.301989,0.305937,59.5
shot_5i_13,shot_5i_13.json,75.04,8.01,2.53,3921.4,3.42,3914.4,234.0,56.2,89.0,32.7,7.4,1.83,24.53,12.25,91830.0,0.261184,0.275684,0.303437,0.305052,56.2
shot_5i_14,shot_5i_14.json,87.69,4.53,-7.68,3390.3,1.80,3388.6,106.5,54.4,97.9,43.6,4.0,1.43,31.11,6.68,107310.8,0.193234,0.228763,0.243331,0.243331,54.4
shot_5i_15,shot_5i_15.json,86.90,9.35,-4.02,2508.9,-4.94,2499.6,-216.2,74.0,121.1,47.1,11.0,2.08,28.46,13.15,106345.9,0.144296,0.216973,0.187102,0.187102,74.0
shot_5i_16,shot_5i_16.json,97.99,9.13,-2.08,3775.9,1.68,3774.3,110.7,110.0,109.0,-1.0,19.5,3.01,27.49,17.69,119926.2,0.192576,0.217163,0.229128,0.230270,110.0
shot_5i_17,shot_5i_17.json,56.46,9.97,24.15,5178.3,29.12,4523.9,2519.7,28.4,45.2,16.9,4.2,1.18,20.20,12.12,69096.2,0.458380,0.407024,0.309595,0.311125,28.4
shot_6i_35,shot_6i_35.json,80.55,15.35,-1.30,4667.1,-0.03,4667.1,-2.8,84.5,84.5,0.0,23.0,2.91,22.65,25.56,98572.3,0.289590,0.256148,0.244343,0.268788,84.5
shot_6i_36,shot_6i_36.json,78.86,10.40,16.08,4166.0,25.12,3771.9,1768.7,69.5,68.0,-1.6,12.4,2.26,24.15,16.78,96505.8,0.264030,0.261524,0.298537,0.298537,69.5
shot_6i_37,shot_6i_37.json,82.57,10.16,11.01,3041.1,25.35,2748.4,1301.8,67.8,109.1,41.3,10.9,2.03,26.86,14.36,101052.9,0.184068,0.236918,0.211057,0.211467,67.8
shot_6i_38,shot_6i_38.json,79.12,13.35,3.04,3186.9,11.59,3121.9,640.2,75.6,75.8,0.2,18.1,2.53,23.76,23.52,96827.7,0.201308,0.252420,0.250057,0.259093,75.6
shot_6i_39,shot_6i_39.json,60.98,6.14,10.35,3284.8,22.03,3044.9,1232.2,23.5,53.7,30.2,2.1,0.86,23.35,7.67,74625.7,0.269219,0.355069,0.288673,0.291280,23.5
shot_6i_40,shot_6i_40.json,62.11,6.80,27.01,2768.0,30.00,2397.2,1384.0,24.9,58.8,33.9,2.6,0.90,23.63,8.89,76009.9,0.222738,0.346476,0.300173,0.300601,24.9
shot_6i_41,shot_6i_41.json,82.53,9.88,-2.28,2620.2,13.56,2547.1,614.5,66.6,110.8,44.2,10.3,1.97,27.33,13.45,100996.8,0.158675,0.229767,0.192268,0.192274,66.6
shot_6i_42,shot_6i_42.json,77.19,13.14,-3.42,4057.2,4.14,4046.6,293.2,75.2,75.1,-0.0,18.2,2.62,22.52,24.02,94471.3,0.262673,0.267336,0.300938,0.300938,75.2
shot_6i_43,shot_6i_43.json,94.06,13.88,-4.68,4616.2,1.70,4614.2,137.0,122.9,128.4,5.6,42.8,4.09,23.12,37.60,115112.4,0.245275,0.229891,0.319007,0.319007,122.9
shot_6i_44,shot_6i_44.json,114.96,9.46,-6.67,2314.5,15.10,2234.6,602.8,140.5,140.2,-0.3,25.2,3.33,31.66,17.41,140686.5,0.100621,0.199291,0.165322,0.165596,140.5
shot_6i_45,shot_6i_45.json,109.32,6.42,-9.00,2509.9,-10.87,2464.9,-473.5,112.6,165.8,53.2,13.4,2.63,32.94,11.72,133784.2,0.114749,0.198894,0.187380,0.187385,112.6
shot_6i_46,shot_6i_46.json,116.33,13.65,0.34,3007.9,10.67,2955.8,557.1,170.4,175.1,4.7,49.9,4.52,28.12,28.70,142368.0,0.129223,0.205178,0.180634,0.181813,170.4
shot_6i_47,shot_6i_47.json,99.48,14.78,-2.86,4810.7,4.69,4794.6,393.7,137.3,146.0,8.7,56.4,4.62,23.48,43.48,121740.5,0.241695,0.226258,0.319265,0.319321,137.3
shot_6i_48,shot_6i_48.json,101.73,15.23,-3.03,4631.0,4.26,4618.2,344.4,142.4,152.3,9.9,62.7,4.81,23.80,45.91,124502.8,0.227503,0.225652,0.307983,0.319321,142.4
shot_6i_49,shot_6i_49.json,71.25,7.70,16.05,2624.7,30.00,2273.0,1312.3,37.4,77.2,39.8,4.2,1.20,26.17,9.51,87197.7,0.184102,0.276921,0.211348,0.211348,37.4
shot_6i_50,shot_6i_50.json,82.80,14.85,-1.42,3783.4,2.81,3778.8,185.4,92.3,94.9,2.6,29.4,3.23,22.56,32.31,101335.6,0.228355,0.249757,0.309186,0.318391,92.3
