shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_3w_18,47.9,45.8,34.0,7491,30.0,36.3,,,36.3,,41.1,,,4.8,,,34.4,,,C-S0-V4-P3,,,false,
shot_3w_19,121.3,5.6,-4.8,1662,-11.9,120.0,120.6,-0.6,120.0,-0.6,181.8,165.8,16.0,61.8,45.2,16.6,12.3,12.2,0.1,D-S4-V0-P0,,,false,severe
shot_3w_20,116.0,4.4,2.3,2026,10.0,102.5,,,102.5,,162.3,,,59.8,,,8.2,,,D-S3-V0-P0,,,false,
shot_3w_21,119.4,5.3,-3.4,1760,-10.5,115.2,114.6,0.6,115.2,0.6,176.4,160.5,15.9,61.2,45.9,15.3,11.2,10.9,0.3,D-S3-V0-P0,,,false,severe
shot_3w_22,108.9,5.6,-7.2,2501,-1.8,105.8,103.2,2.6,105.8,2.6,160.9,141.3,19.6,55.1,38.1,17.0,11.0,10.5,0.5,I-S3-V0-P1,,,false,severe
shot_3w_23,115.8,8.9,-0.8,2804,2.2,147.8,147.7,0.1,147.8,0.1,147.6,170.9,-23.3,-0.2,23.2,-23.4,26.7,28.0,-1.3,D-S3-V0-P1,,,false,severe
shot_3w_24,123.4,6.3,-5.4,2752,-13.3,148.8,145.9,2.9,152.8,6.9,205.1,176.7,28.4,56.3,30.8,25.5,21.6,19.8,1.8,D-S4-V0-P1,4.0,regime,true,severe
shot_5i_10,88.0,14.2,1.2,4065,8.4,99.3,103.1,-3.8,105.6,2.5,109.1,116.7,-7.6,9.8,13.6,-3.8,34.2,28.4,5.8,I-S2-V1-P2,6.3,regime,true,moderate
shot_5i_11,90.6,14.4,-0.2,3360,7.8,105.1,108.8,-3.7,105.1,-3.7,106.5,124.1,-17.6,1.4,15.3,-13.9,28.5,29.8,-1.3,I-S2-V1-P1,,,false,severe
shot_5i_12,74.2,10.2,-1.7,3321,15.8,59.5,58.4,1.1,59.5,1.1,58.4,81.9,-23.5,-1.1,23.5,-24.6,10.5,9.4,1.1,I-S1-V1-P1,,,false,severe
