shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
shot_3w_31,106.9,15.7,-2.4,3662,8.9,I-S3-V1-P1,150-180,150.2,150.3,-0.1,150.2,-0.1,155.2,158.8,-3.6,5.0,8.5,-3.5,50.1,53.7,-3.6,,,,false,pass
shot_3w_32,105.5,18.5,-1.4,5714,2.3,I-S3-V2-P3,115-150,144.3,146.0,-1.7,144.3,-1.7,154.5,148.8,5.7,10.2,2.8,7.4,66.8,71.9,-5.1,,,,false,moderate
shot_3w_33,99.7,20.5,0.5,6997,1.6,I-S2-V2-P3,115-150,137.6,132.0,5.6,137.6,5.6,142.8,133.4,9.4,5.2,1.4,3.8,63.5,72.8,-9.3,,,,false,moderate
shot_3w_34,114.6,15.3,2.4,3502,12.8,D-S3-V1-P1,150-180,165.9,166.6,-0.7,165.9,-0.7,173.4,175.4,-2.0,7.5,8.8,-1.3,56.4,60.3,-3.9,,,,false,pass
shot_3w_35,117.9,14.4,3.6,3735,13.3,D-S3-V1-P1,150-180,171.7,171.9,-0.2,171.7,-0.2,177.5,180.2,-2.7,5.8,8.3,-2.5,56.4,61.1,-4.7,,,,false,pass
shot_5i_25,89.1,16.7,1.1,5262,6.2,I-S2-V1-P2,<115,106.0,110.8,-4.8,106.0,-4.8,106.9,116.1,-9.2,0.9,5.3,-4.4,33.9,40.1,-6.2,,,,false,moderate
shot_5i_26,106.3,15.5,-3.6,4114,3.4,I-S3-V1-P2,115-150,147.4,148.7,-1.3,147.4,-1.3,155.9,155.9,0.0,8.5,7.2,1.3,54.8,54.5,0.3,,,,false,pass
shot_5i_27,84.9,7.0,5.7,2263,30.0,I-S1b-V0-P0,<115,54.3,55.3,-1.0,54.3,-1.0,104.1,92.1,12.0,49.8,36.8,13.0,5.7,5.8,-0.1,,,,false,severe
shot_5i_28,86.0,15.9,-1.6,4179,1.0,I-S2-V1-P2,<115,100.5,103.1,-2.6,100.5,-2.6,104.6,114.6,-10.0,4.1,11.5,-7.4,35.4,32.2,3.2,,,,false,moderate
shot_5i_29,76.2,6.1,0.7,3695,-0.0,I-S1b-V0-P1,<115,51.2,46.2,5.0,51.2,5.0,86.2,73.3,12.9,35.0,27.1,7.9,5.1,4.3,0.8,,,,false,severe
shot_5i_30,96.8,18.2,0.7,6358,17.5,I-S2-V2-P3,115-150,126.4,124.7,1.7,126.4,1.7,128.3,127.7,0.6,1.9,3.0,-1.1,47.6,55.5,-7.9,,,,false,pass
shot_6i_19,85.6,14.7,2.9,4623,10.9,I-S2-V1-P2,<115,96.0,98.9,-2.9,96.0,-2.9,96.8,110.8,-14.0,0.8,11.9,-11.1,27.7,28.6,-0.9,,,,false,severe
shot_6i_20,78.8,9.7,-0.7,4289,-0.0,I-S1b-V0-P2,<115,68.5,69.4,-0.9,68.5,-0.9,100.3,89.6,10.7,31.8,20.2,11.6,11.2,11.5,-0.3,,,,false,severe
shot_6i_21,91.9,17.8,0.7,5967,11.5,I-S2-V1-P3,115-150,117.3,116.4,0.9,117.3,0.9,118.6,120.1,-1.5,1.3,3.7,-2.4,40.8,47.6,-6.8,,,,false,pass
shot_6i_22,76.9,7.7,14.4,3780,30.0,I-S1b-V0-P1,<115,54.2,50.8,3.4,54.2,3.4,88.3,78.8,9.5,34.1,28.0,6.1,6.7,6.0,0.7,,,,false,moderate
shot_6i_23,86.7,15.4,2.8,4196,11.9,I-S2-V1-P2,,101.1,,,101.1,,104.2,,,3.1,,,34.1,,,,,,false,
shot_6i_24,90.8,14.8,3.0,5270,14.9,I-S2-V1-P2,,105.6,,,105.6,,105.8,,,0.2,,,29.9,,,,,,false,
shot_9i_12,66.2,1.4,13.9,3096,30.0,I-S1a-V0-P1,,8.9,,,8.9,,50.1,,,41.2,,,0.2,,,,,,false,
shot_9i_13,73.1,12.5,11.3,4979,21.3,I-S1b-V1-P2,,60.0,,,60.0,,57.8,,,-2.2,,,11.7,,,,,,false,
shot_9i_14,87.1,22.1,0.3,5730,4.7,I-S2-V2-P3,<115,108.6,111.2,-2.6,108.6,-2.6,113.0,113.9,-0.9,4.4,2.7,1.7,48.7,55.8,-7.1,,,,false,pass
shot_9i_15,75.3,23.7,-1.3,6790,2.9,I-S1b-V2-P3,<115,86.2,87.7,-1.5,86.2,-1.5,101.9,89.3,12.6,15.7,1.6,14.1,40.7,43.9,-3.2,,,,false,severe
